Search keyword,Campaign,Ad group,Currency,Clicks,Impressions,Cost,CTR,Conv. value,All conv.,Avg. CPC,Conversions,Cost / conv.,Conv. value / cost
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,11,40,12.37,0.275,59.5,0.9,1.12,0.9,13.74,4.81
anonymized_keyword,anonymized_Generic,anonymized_ad_group,USD,1986,23464,2682.58,0.08460000000000001,27211.89,330.26,1.35,148.33,18.05,10.16
anonymized_keyword,anonymized_Service,anonymized_ad_group,USD,67,2218,81.95,0.0302,151.17,2.0,1.22,2.0,40.98,1.84
anonymized_keyword,anonymized,anonymized_ad_group,USD,3,22,3.24,0.1364,54.0,1.6,1.08,1.6,2.02,16.67
anonymized_keyword,anonymized,anonymized_ad_group,USD,100,2167,132.78,0.0461,363.32,2.0,1.33,2.0,66.39,2.74
anonymized_keyword,anonymized,anonymized_ad_group,USD,50,464,82.65,0.10779999999999999,84.99,1.0,1.65,1.0,82.65,1.03
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,198,329,70.43,0.6018,2894.11,14.04,0.36,13.99,5.0,41.34
anonymized_keyword,anonymized,anonymized_ad_group,USD,1,2,1.47,0.5,0.0,1.0,1.47,1.0,1.47,0.0
anonymized_keyword,anonymized,anonymized_ad_group,USD,206,3912,393.65,0.0527,1200.0,43.0,1.91,41.0,9.52,3.08
anonymized_keyword,anonymized_Generic,anonymized_ad_group,USD,164,2010,240.59,0.0816,1731.59,15.33,1.47,9.33,25.78,7.2
anonymized_keyword,anonymized,anonymized_ad_group,USD,26,251,29.69,0.1036,158.62,2.0,1.14,1.0,29.69,5.34
anonymized_keyword,anonymized,anonymized_ad_group,USD,51,1584,133.65,0.0322,96.0,3.0,2.62,3.0,44.55,0.72
anonymized_keyword,anonymized_Generic,anonymized_ad_group,USD,35,1607,52.29,0.0218,130.99,5.0,1.49,2.0,26.14,2.51
anonymized_keyword,anonymized,anonymized_ad_group,USD,5,88,17.02,0.056799999999999996,36.0,1.0,3.4,1.0,17.02,2.12
anonymized_keyword,anonymized,anonymized_ad_group,USD,46,608,54.39,0.0757,72.0,2.0,1.18,2.0,27.2,1.32
anonymized_keyword,anonymized,anonymized_ad_group,USD,1,4,1.42,0.25,30.0,1.0,1.42,1.0,1.42,21.13
anonymized_keyword,anonymized,anonymized_ad_group,USD,5,38,7.7,0.1316,24.0,0.7,1.54,0.7,11.0,3.12
anonymized_keyword,anonymized_Generic,anonymized_ad_group,USD,44,1732,70.5,0.0254,84.99,5.0,1.6,1.0,70.5,1.21
anonymized_keyword,anonymized,anonymized_ad_group,USD,49,169,76.14,0.2899,103.02,1.5,1.55,1.5,49.77,1.38
anonymized_keyword,anonymized,anonymized_ad_group,USD,2,9,3.1,0.22219999999999998,30.0,1.0,1.55,1.0,3.1,9.68
anonymized_keyword,anonymized_Service,anonymized_ad_group,USD,2,22,1.6,0.0909,239.03,2.0,0.8,2.0,0.8,149.39
anonymized_keyword,anonymized_Generic,anonymized_ad_group,USD,361,6660,542.85,0.0542,2455.98,17.7,1.5,11.7,46.4,4.52
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,3062,6329,1731.91,0.4838,63800.7,336.3,0.57,289.26,5.95,37.05
anonymized_keyword,anonymized,anonymized_ad_group,USD,4,135,14.29,0.0296,36.0,1.0,3.57,1.0,14.29,2.52
anonymized_keyword,anonymized_Generic,anonymized_ad_group,USD,775,8843,1193.38,0.0876,4173.16,85.84,1.54,31.44,37.94,3.5
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,39,144,44.71,0.2708,549.58,3.65,1.15,2.65,16.89,12.29
anonymized_keyword,anonymized,anonymized_ad_group,USD,1,7,1.93,0.1429,30.0,1.0,1.93,1.0,1.93,15.54
anonymized_keyword,anonymized,anonymized_ad_group,USD,46,1216,60.27,0.0378,534.05,3.0,1.31,2.0,30.14,8.86
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,160,1120,225.19,0.1429,2220.53,20.0,1.41,17.0,13.25,9.86
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,245,939,280.31,0.2609,4296.41,45.54,1.14,22.94,12.22,15.33
