Search keyword,Campaign,Ad group,Currency,Clicks,Impressions,Cost,CTR,Conv. value,Conversions,All conv.,Cost / conv.,Conv. value / cost
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,2441,4000,133.48,0.6102000000000001,5429.69,25.5,3690.1,5.23,40.68
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,19,129,9.76,0.14730000000000001,214.9,1.0,19.0,9.76,22.02
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,330,1079,16.09,0.30579999999999996,1451.91,6.0,484.0,2.68,90.24
anonymized_keyword,anonymized_Generic,anonymized_ad_group,USD,490,18350,189.32,0.026699999999999998,1146.9,5.99,214.49,31.61,6.06
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,103,401,15.23,0.2569,405.06,2.0,89.0,7.62,26.6
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,1117,5455,42.17,0.2048,4989.14,26.21,1133.51,1.61,118.31
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,87,423,7.23,0.2057,454.02,2.5,86.5,2.89,62.8
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,57,246,4.19,0.23170000000000002,373.54,1.5,136.0,2.79,89.15
anonymized_keyword,anonymized_Generic,anonymized_ad_group,USD,1066,4112,234.66,0.25920000000000004,686.62,4.35,664.35,53.9,2.93
anonymized_keyword,anonymized_Generic,anonymized_ad_group,USD,2568,7366,1039.55,0.3486,3159.17,12.93,1156.43,80.38,3.04
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,254,686,20.31,0.3703,1939.15,13.5,408.5,1.5,95.48
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,6987,37886,576.13,0.1844,28689.67,154.32,6515.82,3.73,49.8
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,256,1653,21.93,0.1549,2357.25,10.24,416.3,2.14,107.49
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,964,3231,58.95,0.2984,1632.25,9.87,721.47,5.97,27.69
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,162,751,13.05,0.2157,945.19,4.2,170.2,3.11,72.43
